model,term,chisq,df,p,global_p
additive__z_log_ddimer1,dm031c,3.065849428893982,1,0.07995336571736787,0.42250324121223276
additive__z_log_ddimer1,educ1,0.6509214659148721,1,0.4197834240126891,0.42250324121223276
additive__z_log_ddimer1,hdl1,0.5418558146157351,1,0.4616646327683121,0.42250324121223276
additive__z_log_ddimer1,htn1c,0.05490377893418082,1,0.8147400115108224,0.42250324121223276
additive__z_log_ddimer1,income1,0.6510437293537239,1,0.419739766105935,0.42250324121223276
additive__z_log_ddimer1,ldl1,0.48226608147306627,1,0.4873976638880659,0.42250324121223276
additive__z_log_ddimer1,pkyrs1c,2.825854635819703,1,0.0927575049732717,0.42250324121223276
additive__z_log_ddimer1,race_eth,2.629888527094096,3,0.4522737793662346,0.42250324121223276
additive__z_log_ddimer1,sbp1c,0.5006641140010174,1,0.4792084615328941,0.42250324121223276
additive__z_log_ddimer1,sex,3.528933082029266,1,0.06030658288878866,0.42250324121223276
additive__z_log_ddimer1,site_factor,2.7428833650710565,5,0.7395522086722015,0.42250324121223276
additive__z_log_ddimer1,trig1,0.03287214235887741,1,0.8561267977906165,0.42250324121223276
additive__z_log_ddimer1,z_log_ddimer1,0.39074792827486055,1,0.5319065207391261,0.42250324121223276
additive__z_log_il61,age1c,1.273563231908367,1,0.25909928287113637,0.30220227146134054
additive__z_log_il61,bmi1c,0.0024665379708454604,1,0.960389943704526,0.30220227146134054
additive__z_log_il61,cepgfr1c,0.08330293527770652,1,0.7728702916410614,0.30220227146134054
additive__z_log_il61,chol1,0.15747614422460968,1,0.6914908794905187,0.30220227146134054
additive__z_log_il61,cig1c,0.5112578757371739,1,0.47459483773554567,0.30220227146134054
additive__z_log_il61,dm031c,3.260932076493069,1,0.07094878782124905,0.30220227146134054
additive__z_log_il61,educ1,0.5597422445943749,1,0.4543641147713247,0.30220227146134054
additive__z_log_il61,hdl1,1.0838444548000215,1,0.2978391144279874,0.30220227146134054
additive__z_log_il61,htn1c,0.029952458768447036,1,0.8625981453735432,0.30220227146134054
additive__z_log_il61,income1,0.5994798323461075,1,0.43877656245164437,0.30220227146134054
additive__z_log_il61,ldl1,0.8032163416226175,1,0.3701334727123294,0.30220227146134054
additive__z_log_il61,pkyrs1c,2.4815044148596908,1,0.11519202340246264,0.30220227146134054
additive__z_log_il61,race_eth,2.4614646480515208,3,0.48229555494424353,0.30220227146134054
additive__z_log_il61,sbp1c,0.7990606173633487,1,0.3713743779605131,0.30220227146134054
additive__z_log_il61,sex,3.4814053386280457,1,0.06206201277652112,0.30220227146134054
additive__z_log_il61,site_factor,3.467238804264559,5,0.628350509847621,0.30220227146134054
additive__z_log_il61,trig1,0.0014504097277106224,1,0.9696205127562023,0.30220227146134054
additive__z_log_il61,z_log_il61,0.8341674983391247,1,0.3610702150198078,0.30220227146134054
incremental__M0_clinical,age1c,1.4333097715977725,1,0.2312250406425272,0.5084700308660854
incremental__M0_clinical,bmi1c,0.0022786187746094816,1,0.9619275355069565,0.5084700308660854
incremental__M0_clinical,cepgfr1c,0.03044686099279155,1,0.8614801618710701,0.5084700308660854
incremental__M0_clinical,chol1,0.2389027207823958,1,0.6249997532139535,0.5084700308660854
incremental__M0_clinical,cig1c,0.7302276718901217,1,0.39280940112886603,0.5084700308660854
incremental__M0_clinical,dm031c,3.114220666065128,1,0.07761159842885508,0.5084700308660854
incremental__M0_clinical,educ1,0.57665740524104,1,0.44762550201163037,0.5084700308660854
incremental__M0_clinical,hdl1,0.2492731273075779,1,0.617587356468228,0.5084700308660854
incremental__M0_clinical,htn1c,0.05840739933564549,1,0.8090310506660755,0.5084700308660854
incremental__M0_clinical,income1,0.393664561766673,1,0.5303794148452625,0.5084700308660854
incremental__M0_clinical,ldl1,0.8462725413617089,1,0.3576089608714625,0.5084700308660854
incremental__M0_clinical,race_eth,2.88347274619036,3,0.4099425023845908,0.5084700308660854
incremental__M0_clinical,sbp1c,0.5855378869233575,1,0.44414979600569426,0.5084700308660854
incremental__M0_clinical,sex,2.9415956171052984,1,0.08632541902191027,0.5084700308660854
incremental__M0_clinical,site_factor,3.0655412344445128,5,0.6898818593947831,0.5084700308660854
incremental__M0_clinical,trig1,0.1150727083423374,1,0.7344412280605029,0.5084700308660854
incremental__M1_M0_plus_IL6,age1c,1.694993357720614,1,0.19294404050564362,0.37951468628887275
incremental__M1_M0_plus_IL6,bmi1c,1.157336310505876e-4,1,0.9914165580576106,0.37951468628887275
incremental__M1_M0_plus_IL6,cepgfr1c,0.08943535673587873,1,0.7648962134671564,0.37951468628887275
incremental__M1_M0_plus_IL6,chol1,0.3812149593771752,1,0.5369537268906569,0.37951468628887275
incremental__M1_M0_plus_IL6,cig1c,0.904080087698665,1,0.3416900404122245,0.37951468628887275
incremental__M1_M0_plus_IL6,dm031c,3.3025037273008877,1,0.06917437165236633,0.37951468628887275
incremental__M1_M0_plus_IL6,educ1,0.5072590865614348,1,0.47632778983111157,0.37951468628887275
incremental__M1_M0_plus_IL6,hdl1,0.5940013447311367,1,0.44087598145143386,0.37951468628887275
incremental__M1_M0_plus_IL6,htn1c,0.025964732409226927,1,0.871986477647452,0.37951468628887275
incremental__M1_M0_plus_IL6,income1,0.3096299410904976,1,0.577907357072633,0.37951468628887275
incremental__M1_M0_plus_IL6,ldl1,1.1693528088409804,1,0.2795342607661092,0.37951468628887275
incremental__M1_M0_plus_IL6,race_eth,2.898889325125478,3,0.40747859750407744,0.37951468628887275
incremental__M1_M0_plus_IL6,sbp1c,0.7422333871714573,1,0.3889463825344427,0.37951468628887275
incremental__M1_M0_plus_IL6,sex,2.7377934782597486,1,0.098000001041399,0.37951468628887275
incremental__M1_M0_plus_IL6,site_factor,3.7091211135332305,5,0.5920071910530151,0.37951468628887275
incremental__M1_M0_plus_IL6,trig1,0.01087618433767006,1,0.9169400495886326,0.37951468628887275
incremental__M1_M0_plus_IL6,z_log_il61,1.169027811083242,1,0.27960108921470167,0.37951468628887275
incremental__M2_M0_plus_Ddimer,age1c,1.7142151095208316,1,0.19043939364517323,0.5430131727917886
incremental__M2_M0_plus_Ddimer,bmi1c,6.187377181631407e-4,1,0.9801551156057747,0.5430131727917886
incremental__M2_M0_plus_Ddimer,cepgfr1c,0.012037998814863508,1,0.9126331717991528,0.5430131727917886
incremental__M2_M0_plus_Ddimer,chol1,0.22687098723963997,1,0.6338537132971124,0.5430131727917886
incremental__M2_M0_plus_Ddimer,cig1c,0.5650164723582123,1,0.4522460613901025,0.5430131727917886
incremental__M2_M0_plus_Ddimer,dm031c,3.1835390302584026,1,0.07438346203152028,0.5430131727917886
incremental__M2_M0_plus_Ddimer,educ1,0.5803776480882442,1,0.44616433300614505,0.5430131727917886
incremental__M2_M0_plus_Ddimer,hdl1,0.2236616221364265,1,0.636263997936166,0.5430131727917886
incremental__M2_M0_plus_Ddimer,htn1c,0.049955227314562686,1,0.8231411998618592,0.5430131727917886
incremental__M2_M0_plus_Ddimer,income1,0.3480993623812627,1,0.5551910117753178,0.5430131727917886
incremental__M2_M0_plus_Ddimer,ldl1,0.7706541956393325,1,0.38001474773494426,0.5430131727917886
incremental__M2_M0_plus_Ddimer,race_eth,3.1364505246228043,3,0.3710618855366434,0.5430131727917886
incremental__M2_M0_plus_Ddimer,sbp1c,0.4625588418859493,1,0.49643051693671547,0.5430131727917886
incremental__M2_M0_plus_Ddimer,sex,2.7664978207035475,1,0.09625655287778852,0.5430131727917886
incremental__M2_M0_plus_Ddimer,site_factor,2.982600134795461,5,0.7026685302076204,0.5430131727917886
incremental__M2_M0_plus_Ddimer,trig1,0.09388537238233581,1,0.7592946268142289,0.5430131727917886
incremental__M2_M0_plus_Ddimer,z_log_ddimer1,0.4548434746558826,1,0.5000437946454434,0.5430131727917886
incremental__M3_M0_plus_IL6_Ddimer,age1c,1.9618943626798873,1,0.16131086462572616,0.420689047364547
incremental__M3_M0_plus_IL6_Ddimer,bmi1c,0.005870106504506251,1,0.9389285367394088,0.420689047364547
incremental__M3_M0_plus_IL6_Ddimer,cepgfr1c,0.061295048967448605,1,0.8044606485313873,0.420689047364547
incremental__M3_M0_plus_IL6_Ddimer,chol1,0.3705454150700547,1,0.5427071202218692,0.420689047364547
incremental__M3_M0_plus_IL6_Ddimer,cig1c,0.7636351824483545,1,0.382193290404055,0.420689047364547
incremental__M3_M0_plus_IL6_Ddimer,dm031c,3.3728158038374647,1,0.06628038090000445,0.420689047364547
incremental__M3_M0_plus_IL6_Ddimer,educ1,0.5061581381888216,1,0.47680671492245874,0.420689047364547
incremental__M3_M0_plus_IL6_Ddimer,hdl1,0.5525041237847438,1,0.45729631191497644,0.420689047364547
incremental__M3_M0_plus_IL6_Ddimer,htn1c,0.02183194293480551,1,0.8825350481770399,0.420689047364547
incremental__M3_M0_plus_IL6_Ddimer,income1,0.2771548091127263,1,0.5985721484203177,0.420689047364547
incremental__M3_M0_plus_IL6_Ddimer,ldl1,1.09255978169681,1,0.29590473920015714,0.420689047364547
incremental__M3_M0_plus_IL6_Ddimer,race_eth,3.162670861934142,3,0.367218130183281,0.420689047364547
incremental__M3_M0_plus_IL6_Ddimer,sbp1c,0.6120142546070548,1,0.4340304141418662,0.420689047364547
incremental__M3_M0_plus_IL6_Ddimer,sex,2.5760863383848003,1,0.10848959952272628,0.420689047364547
incremental__M3_M0_plus_IL6_Ddimer,site_factor,3.6115532945084072,5,0.6065794554436977,0.420689047364547
incremental__M3_M0_plus_IL6_Ddimer,trig1,0.005717080265810696,1,0.9397282851882206,0.420689047364547
incremental__M3_M0_plus_IL6_Ddimer,z_log_ddimer1,0.23146702308469513,1,0.6304381801493104,0.420689047364547
incremental__M3_M0_plus_IL6_Ddimer,z_log_il61,1.3024753370160982,1,0.2537615694190986,0.420689047364547
interaction__z_fib1,age1c,0.9919047954364338,1,0.3192772710734101,0.5654479257686603
interaction__z_fib1,bmi1c,0.005197554622745723,1,0.9425270470927766,0.5654479257686603
interaction__z_fib1,cepgfr1c,0.02489698891562105,1,0.8746240146949805,0.5654479257686603
interaction__z_fib1,chol1,0.06865967786053562,1,0.7932983766706578,0.5654479257686603
interaction__z_fib1,cig1c,0.2638659718189797,1,0.6074765339498469,0.5654479257686603
interaction__z_fib1,dm031c,2.952854669889431,1,0.08572600814894663,0.5654479257686603
interaction__z_fib1,educ1,0.6846034470241484,1,0.40800603654654827,0.5654479257686603
interaction__z_fib1,hdl1,0.5827937911350939,1,0.4452193228874557,0.5654479257686603
